post_text,label
# මට # කල්පනාගා හා # වීදිවලින් රෝගාතුර වී වසර 2 කට වඩා ගතවී ඇත.අද මම එතැන් සිට කොපමණ දුරක් පැමිණ ඇත්දැයි මෙනෙහි කිරීමට මොහොතක් ගත කරමි.,1
"ඒ ඉරිදාය, මට විවේකයක් අවශ්යයි, ඒ නිසා මම සැලසුම් කරන්නේ # A14 හි හැකි තරම් කාලයක් ගත කිරීමට ...",1
"අවදි වන්න, නමුත් වෙහෙසට පත්වීම.මට නිදාගන්න ඕන නමුත් මගේ මොළයට වෙනත් අදහස් තිබේ ...",1
RT @SEWRQ: #TRORO වලසුන් පරිපූර්ණ තෑගි ඇති කරන අතර ආරම්භකයින් සඳහා ද විශිෂ්ටයි!දැන් විකිණීමෙන් දැන් මැහුම් සමඟ මැහුම් කරන්න!#yayp://t.co/...,1
"ඇසුරුම් ලැයිස්තු ජීවනය ලබා ගැනීම පහසුද, නැතහොත් තවමත් කොපමණ ප්රමාණයක් අවශ්යද යන්න කීමට අපහසුය ... # මෝරිංහවුස් # කනිෂ්",1
ඇසුරුම් ලැයිස්තු සෑදීම මගේ නව විනෝදාංශය ... # මෝයිෆ්හවුස්,1
නොස්ටැල්කම් හේතු සඳහා දේවල් තබා ගැනීම කුමන අවස්ථාවේදීද?# මෝයිංහවුස්,1
දැනට සසම්භාවී-ජරාව ඇසුරුම් කිරීමේ අවධියේ දැනට සොයන පෙට්ටි වල.මම හිතන්නේ මම වැසිකිළි හෝඩරයෙක් ...,1
"උයන්නට කරදර විය නොහැක, 😁👍🏼 #lazy ආකාරයට රැගෙන යන්න",1
RT @itventsNews: ITV :://t.co/mc8ive72zr හි අවසාන තරඟාවලිය සඳහා ප්රවර්ධන වීඩියෝව http://t.co/mc8ive72zr http://t.co/cfbkrrvjis,1
"... මට ඕනෑවට වඩා දේවල් තිබේ.මාර්ගය, මාර්ගය ඕනෑවට වඩා # මෝයිංහවුස්",1
